description,"key_id","key_name",position,type,validated,value
"IIIPL - 3PL MSH / RxC  Integration","project_key",Project,1,dropdown,false,IIIPL
"AHANALY - AccessHealth Analytics","project_key",Project,1,dropdown,false,AHANALY
"AHCENTRALP - AccessHealth Central Pay","project_key",Project,1,dropdown,false,AHCENTRALP
"AHCONTRACT - AccessHealth Contracts","project_key",Project,1,dropdown,false,AHCONTRACT
"AHMEMBERS - AccessHealth Membership","project_key",Project,1,dropdown,false,AHMEMBERS
"MSM - AccessHealth MSM","project_key",Project,1,dropdown,false,MSM
"AHPRF - AccessHealth Performance","project_key",Project,1,dropdown,false,AHPRF
"ATTP - ATTP COE","project_key",Project,1,dropdown,false,ATTP
"B2BA - B2B Architecture","project_key",Project,1,dropdown,false,B2BA
"BPC - Business Planning & Consolidation","project_key",Project,1,dropdown,false,BPC
"CANCC - Canada Cybersecurity","project_key",Project,1,dropdown,false,CANCC
"COPS - Cloud Operation","project_key",Project,1,dropdown,false,COPS
"ECOMCAS - Connect Applications Support","project_key",Project,1,dropdown,false,ECOMCAS
"WMSNGP - Connect Next Gen Phase 3","project_key",Project,1,dropdown,false,WMSNGP
"CSOS - CSOS Cloud","project_key",Project,1,dropdown,false,CSOS
"CMIT - CTO Migration Issue Tracking","project_key",Project,1,dropdown,false,CMIT
"CTT - CTO TS Triage","project_key",Project,1,dropdown,false,CTT
"CABIAH - Customer Analytics Ad-Hoc BI","project_key",Project,1,dropdown,false,CABIAH
"CC2 - Customer Center","project_key",Project,1,dropdown,false,CC2
"CP - Cybersecurity Patching","project_key",Project,1,dropdown,false,CP
"DASE - Data Services - Compliance","project_key",Project,1,dropdown,false,DASE
"DST - Data Services - Team","project_key",Project,1,dropdown,false,DST
"DS - Developer Services","project_key",Project,1,dropdown,false,DS
"EECF - Employee Experience-Central Functions FY20 Cybersecurity","project_key",Project,1,dropdown,false,EECF
"ERROW - ERROW","project_key",Project,1,dropdown,false,ERROW
"FIDEQ - Fidelity Equity Conversion","project_key",Project,1,dropdown,false,FIDEQ
"FORENS - Forensics Services","project_key",Project,1,dropdown,false,FORENS
"GAP - Global Application Packaging","project_key",Project,1,dropdown,false,GAP
"CCRR - Green River","project_key",Project,1,dropdown,false,CCRR
"ICP - Imaging and Content Platforms","project_key",Project,1,dropdown,false,ICP
"IODL - Infrastructure/Ops Data Lake","project_key",Project,1,dropdown,false,IODL
"MH - Macro Helix","project_key",Project,1,dropdown,false,MH
"MCKLABZ - McKesson Labs","project_key",Project,1,dropdown,false,MCKLABZ
"MRA - McKesson Reimbursement Advantage","project_key",Project,1,dropdown,false,MRA
"SAP - MSH SAP","project_key",Project,1,dropdown,false,SAP
"AUT - MT Automation & Simplification","project_key",Project,1,dropdown,false,AUT
"MTBIZOPS - MT-Business Operations","project_key",Project,1,dropdown,false,MTBIZOPS
"MTDAB - MTDA Backlog","project_key",Project,1,dropdown,false,MTDAB
"MTP - MTPOC ART Project","project_key",Project,1,dropdown,false,MTP
"MLSP - MTPOC Large Solution Layer Project","project_key",Project,1,dropdown,false,MLSP
"MPP - MTPOC Portfolio Project","project_key",Project,1,dropdown,false,MPP
"NGOA - Next Gen Ordering Automation","project_key",Project,1,dropdown,false,NGOA
"PHSAGILE - PHS Agile","project_key",Project,1,dropdown,false,PHSAGILE
"PHSREXALL - PHS Rexall","project_key",Project,1,dropdown,false,PHSREXALL
"PA - Platform Analytics","project_key",Project,1,dropdown,false,PA
"PPA - PrepayAutomation","project_key",Project,1,dropdown,false,PPA
"PB - Project Bob","project_key",Project,1,dropdown,false,PB
"CCRC - Proud Mary","project_key",Project,1,dropdown,false,CCRC
"QSA - QA Solution Architecture","project_key",Project,1,dropdown,false,QSA
"SECA - Security Analytics","project_key",Project,1,dropdown,false,SECA
"SAUI - Service Agility","project_key",Project,1,dropdown,false,SAUI
"OV - Singularity","project_key",Project,1,dropdown,false,OV
"SISD - SOC IT Service Desk","project_key",Project,1,dropdown,false,SISD
"SOC - SOC-Master","project_key",Project,1,dropdown,false,SOC
"SUPL - Supplylogix","project_key",Project,1,dropdown,false,SUPL
"SMHT - SupplyManager HITRUST Certification","project_key",Project,1,dropdown,false,SMHT
"TABS1 - TABS Center","project_key",Project,1,dropdown,false,TABS1
"TS - Tech & Services","project_key",Project,1,dropdown,false,TS
"TMPOB - Tech Mod Program Office Board","project_key",Project,1,dropdown,false,TMPOB
"TPHSREXALL - Test PHS Rexall","project_key",Project,1,dropdown,false,TPHSREXALL
"TMH - Test-Macro Helix","project_key",Project,1,dropdown,false,TMH
"TPHSAGILE - TPHSAGILE","project_key",Project,1,dropdown,false,TPHSAGILE
"WTRE - Workplace Technology - Real Estate","project_key",Project,1,dropdown,false,WTRE
Bug,"issue_type",Type,2,dropdown,false,Bug
Task,"issue_type",Type,2,dropdown,false,Task
"Sub-task","issue_type",Type,2,dropdown,false,"Sub-task"
Epic,"issue_type",Type,2,dropdown,false,Epic
Story,"issue_type",Type,2,dropdown,false,Story
Test,"issue_type",Type,2,dropdown,false,Test
Feature,"issue_type",Type,2,dropdown,false,Feature
Risk,"issue_type",Type,2,dropdown,false,Risk
Issue,"issue_type",Type,2,dropdown,false,Issue
"Dev Sub-Task","issue_type",Type,2,dropdown,false,"Dev Sub-Task"
Documentation,"issue_type",Type,2,dropdown,false,Documentation
Defect,"issue_type",Type,2,dropdown,false,Defect
"BA Sub-Task","issue_type",Type,2,dropdown,false,"BA Sub-Task"
"QA Sub-Task","issue_type",Type,2,dropdown,false,"QA Sub-Task"
"Change Request","issue_type",Type,2,dropdown,false,"Change Request"
Enabler,"issue_type",Type,2,dropdown,false,Enabler
"Remedy Incident","issue_type",Type,2,dropdown,false,"Remedy Incident"
"New Feature","issue_type",Type,2,dropdown,false,"New Feature"
Improvement,"issue_type",Type,2,dropdown,false,Improvement
Requirement,"issue_type",Type,2,dropdown,false,Requirement
"Application Access","issue_type",Type,2,dropdown,false,"Application Access"
Research,"issue_type",Type,2,dropdown,false,Research
"Data Repair","issue_type",Type,2,dropdown,false,"Data Repair"
Support,"issue_type",Type,2,dropdown,false,Support
Enhancement,"issue_type",Type,2,dropdown,false,Enhancement
Content,"issue_type",Type,2,dropdown,false,Content
"Production Support","issue_type",Type,2,dropdown,false,"Production Support"
"Support/Implementation","issue_type",Type,2,dropdown,false,"Support/Implementation"
Process,"issue_type",Type,2,dropdown,false,Process
L3,"issue_type",Type,2,dropdown,false,L3
Capability,"issue_type",Type,2,dropdown,false,Capability
"Action Item","issue_type",Type,2,dropdown,false,"Action Item"
"FORENS- eDiscovery","issue_type",Type,2,dropdown,false,"FORENS- eDiscovery"
"Internal Investigation","issue_type",Type,2,dropdown,false,"Internal Investigation"
"Cyber Forensics","issue_type",Type,2,dropdown,false,"Cyber Forensics"
DLP,"issue_type",Type,2,dropdown,false,DLP
Innovation,"issue_type",Type,2,dropdown,false,Innovation
"Issue Type","issue_type",Type,2,dropdown,false,"Issue Type"
Change,"issue_type",Type,2,dropdown,false,Change
"PI Feature","issue_type",Type,2,dropdown,false,"PI Feature"
Objective,"issue_type",Type,2,dropdown,false,Objective
"Program Epic","issue_type",Type,2,dropdown,false,"Program Epic"
"PI Objective","issue_type",Type,2,dropdown,false,"PI Objective"
Spike,"issue_type",Type,2,dropdown,false,Spike
"Solution Epic","issue_type",Type,2,dropdown,false,"Solution Epic"
"Portfolio Epic","issue_type",Type,2,dropdown,false,"Portfolio Epic"
"Security Event","issue_type",Type,2,dropdown,false,"Security Event"
"Security Incident","issue_type",Type,2,dropdown,false,"Security Incident"
"Security Tuning","issue_type",Type,2,dropdown,false,"Security Tuning"
Tools,"issue_type",Type,2,dropdown,false,Tools
"Ticket QA","issue_type",Type,2,dropdown,false,"Ticket QA"
Backlog,"issue_type",Type,2,dropdown,false,Backlog
"Opz Data Source","issue_type",Type,2,dropdown,false,"Opz Data Source"
"Opz Sub-Task","issue_type",Type,2,dropdown,false,"Opz Sub-Task"
"Use Case","issue_type",Type,2,dropdown,false,"Use Case"
Automation,"issue_type",Type,2,dropdown,false,Automation
Bug,"issue_type",Type,2,dropdown,false,Bug
Task,"issue_type",Type,2,dropdown,false,Task
"Sub-task","issue_type",Type,2,dropdown,false,"Sub-task"
Epic,"issue_type",Type,2,dropdown,false,Epic
Story,"issue_type",Type,2,dropdown,false,Story
Test,"issue_type",Type,2,dropdown,false,Test
Feature,"issue_type",Type,2,dropdown,false,Feature
Risk,"issue_type",Type,2,dropdown,false,Risk
Issue,"issue_type",Type,2,dropdown,false,Issue
"Dev Sub-Task","issue_type",Type,2,dropdown,false,"Dev Sub-Task"
Documentation,"issue_type",Type,2,dropdown,false,Documentation
Defect,"issue_type",Type,2,dropdown,false,Defect
"BA Sub-Task","issue_type",Type,2,dropdown,false,"BA Sub-Task"
"QA Sub-Task","issue_type",Type,2,dropdown,false,"QA Sub-Task"
"Change Request","issue_type",Type,2,dropdown,false,"Change Request"
Enabler,"issue_type",Type,2,dropdown,false,Enabler
"Remedy Incident","issue_type",Type,2,dropdown,false,"Remedy Incident"
"New Feature","issue_type",Type,2,dropdown,false,"New Feature"
Improvement,"issue_type",Type,2,dropdown,false,Improvement
Requirement,"issue_type",Type,2,dropdown,false,Requirement
"Application Access","issue_type",Type,2,dropdown,false,"Application Access"
Research,"issue_type",Type,2,dropdown,false,Research
"Data Repair","issue_type",Type,2,dropdown,false,"Data Repair"
Support,"issue_type",Type,2,dropdown,false,Support
Enhancement,"issue_type",Type,2,dropdown,false,Enhancement
Content,"issue_type",Type,2,dropdown,false,Content
"Production Support","issue_type",Type,2,dropdown,false,"Production Support"
"Support/Implementation","issue_type",Type,2,dropdown,false,"Support/Implementation"
Process,"issue_type",Type,2,dropdown,false,Process
L3,"issue_type",Type,2,dropdown,false,L3
Capability,"issue_type",Type,2,dropdown,false,Capability
"Action Item","issue_type",Type,2,dropdown,false,"Action Item"
"FORENS- eDiscovery","issue_type",Type,2,dropdown,false,"FORENS- eDiscovery"
"Internal Investigation","issue_type",Type,2,dropdown,false,"Internal Investigation"
"Cyber Forensics","issue_type",Type,2,dropdown,false,"Cyber Forensics"
DLP,"issue_type",Type,2,dropdown,false,DLP
