description,"key_id","key_name",value
Yes,"customfield_16408","Is MSSP",Yes
None,"customfield_16408","Is MSSP",None
Resolved,"customfield_12792","Resolution Type",Resolved
"Moved to EthicsPoint","customfield_12792","Resolution Type","Moved to EthicsPoint"
"False Positive","customfield_12792","Resolution Type","False Positive"
Duplicate,"customfield_12792","Resolution Type",Duplicate
Test,"customfield_12792","Resolution Type",Test
"FP Tuning","customfield_12792","Resolution Type","FP Tuning"
"Unable to Reproduce","customfield_12792","Resolution Type","Unable to Reproduce"
Other,"customfield_12792","Resolution Type",Other
None,"customfield_12792","Resolution Type",None
Other,"customfield_15020","Incident Category",Other
"Brute Force","customfield_15020","Incident Category","Brute Force"
"Confidential Data Exposure","customfield_15020","Incident Category","Confidential Data Exposure"
"Credential Compromise","customfield_15020","Incident Category","Credential Compromise"
"Denial of Service","customfield_15020","Incident Category","Denial of Service"
Forensics,"customfield_15020","Incident Category",Forensics
"Illegal Activity","customfield_15020","Incident Category","Illegal Activity"
"Inappropriate Use","customfield_15020","Incident Category","Inappropriate Use"
"Insider Threat","customfield_15020","Incident Category","Insider Threat"
"Lost Equipment","customfield_15020","Incident Category","Lost Equipment"
"Malicious Software","customfield_15020","Incident Category","Malicious Software"
Phishing,"customfield_15020","Incident Category",Phishing
"Policy Violation","customfield_15020","Incident Category","Policy Violation"
Reconnaissance,"customfield_15020","Incident Category",Reconnaissance
"Removable Media","customfield_15020","Incident Category","Removable Media"
"Rogue Server or Service","customfield_15020","Incident Category","Rogue Server or Service"
Simulation,"customfield_15020","Incident Category",Simulation
"Social Engineering","customfield_15020","Incident Category","Social Engineering"
Spam,"customfield_15020","Incident Category",Spam
"System Compromise","customfield_15020","Incident Category","System Compromise"
"Unauthorized Access","customfield_15020","Incident Category","Unauthorized Access"
"Web/BBS Defacement","customfield_15020","Incident Category","Web/BBS Defacement"
"Loss or Theft of Equipment","customfield_15020","Incident Category","Loss or Theft of Equipment"
Web,"customfield_15020","Incident Category",Web
"External/Removable Media","customfield_15020","Incident Category","External/Removable Media"
Attrition,"customfield_15020","Incident Category",Attrition
"Improper Usage","customfield_15020","Incident Category","Improper Usage"
Email,"customfield_15020","Incident Category",Email
None,"customfield_15020","Incident Category",None
BPS,"customfield_14509","SOC-BU2",BPS
CCA,"customfield_14509","SOC-BU2",CCA
CEL,"customfield_14509","SOC-BU2",CEL
"CHC_IWCS","customfield_14509","SOC-BU2","CHC_IWCS"
"CHC_NS","customfield_14509","SOC-BU2","CHC_NS"
"CHC_SA","customfield_14509","SOC-BU2","CHC_SA"
CHS,"customfield_14509","SOC-BU2",CHS
COR,"customfield_14509","SOC-BU2",COR
EIS,"customfield_14509","SOC-BU2",EIS
IWS,"customfield_14509","SOC-BU2",IWS
MCA,"customfield_14509","SOC-BU2",MCA
MCKEU,"customfield_14509","SOC-BU2",MCKEU
MGP,"customfield_14509","SOC-BU2",MGP
MHS,"customfield_14509","SOC-BU2",MHS
MMS,"customfield_14509","SOC-BU2",MMS
MPTS,"customfield_14509","SOC-BU2",MPTS
MSH,"customfield_14509","SOC-BU2",MSH
PSA,"customfield_14509","SOC-BU2",PSA
RHPS,"customfield_14509","SOC-BU2",RHPS
"SOC-BU2","customfield_14509","SOC-BU2","SOC-BU2"
TES,"customfield_14509","SOC-BU2",TES
USA,"customfield_14509","SOC-BU2",USA
USP,"customfield_14509","SOC-BU2",USP
WSA,"customfield_14509","SOC-BU2",WSA
None,"customfield_14509","SOC-BU2",None
Yes,"customfield_16403","Is Malicious",Yes
None,"customfield_16403","Is Malicious",None
Reconnaissance,"customfield_16310","Kill Chain",Reconnaissance
Weaponization,"customfield_16310","Kill Chain",Weaponization
Delivery,"customfield_16310","Kill Chain",Delivery
Exploitation,"customfield_16310","Kill Chain",Exploitation
Installation,"customfield_16310","Kill Chain",Installation
"Command and Control","customfield_16310","Kill Chain","Command and Control"
"Actions on Objectives","customfield_16310","Kill Chain","Actions on Objectives"
None,"customfield_16310","Kill Chain",None
Analytics,"customfield_15048",Zone,Analytics
"Cloud & Web","customfield_15048",Zone,"Cloud & Web"
Database,"customfield_15048",Zone,Database
Endpoint,"customfield_15048",Zone,Endpoint
Forensics,"customfield_15048",Zone,Forensics
